Date,State,Dead,Injured,Total,Description
29/12/2019,Texas,3,0,3,"West Freeway Church of Christ shooting: Two people were killed inside the West Freeway Church of Christ by a gunman before he was shot and killed by a member of the security team. The attack was livestreamed, leading to numerous social media posts showing the shooting in progress."
29/12/2019,California,0,5,5,Five people were shot outside a home after returning from a bar in Modesto where they had been involved in an altercation.
29/12/2019,Illinois,0,5,5,Five women aged 18 to 32 years old were injured by gunfire after the home they were in was shot at by an unknown person.
29/12/2019,New York,1,3,4,"After an argument escalated on a front porch, four people were wounded by gunfire, with one man dying later at the hospital."
27/12/2019,Texas,2,7,9,Two people were killed and seven injured in a drive-by shooting at a music video set.
27/12/2019,Georgia,0,4,4,Officers responding to a call about an individual shot arrived at a house party and found four teenagers injured.
27/12/2019,California,1,3,4,Officers responding to a call of suspicious circumstances near an intersection found one man killed and two others and a woman injured.
26/12/2019,Florida,0,5,5,"Five people were wounded by gunfire outside a night club, with an additional three injured by the resulting building damage and chaos. The shooting occurred after an altercation escalated out onto the street."
25/12/2019,Iowa,1,3,4,"Police responding to reports of shots fired discovered four wounded victims, one of which died later at the hospital."
25/12/2019,Virginia,1,3,4,"One person was killed and three injured in a shooting outside a bar, after an earlier argument in a restaurant."
25/12/2019,California,0,4,4,Four people wounded by gunfire were discovered by police after responding to a house party.
24/12/2019,North Carolina,0,6,6,Six people were wounded in a shooting in which the perpetrator was believed to have exited a vehicle and opened fire before leaving in it.
24/12/2019,Louisiana,0,4,4,Shooters wearing ski masks exited a vehicle and wounded four people before fleeing.
22/12/2019,Illinois,0,13,13,"Thirteen people were shot at a party that was held to memorialize a victim of an earlier shooting, at least one was a teenager."
22/12/2019,Maryland,0,7,7,"Seven people were wounded in an early morning shooting, including two 17-year-olds."
21/12/2019,Mississippi,1,6,7,One person was killed and six injured in an apartment complex after a drive-by shooting.
20/12/2019,North Carolina,2,2,4,Two people were killed and a police officer and bystander injured at the local Sanitation Department after a fight escalated.
20/12/2019,Alabama,2,2,4,Two people were killed and two were injured in a late night double homicide.
19/12/2019,Rhode Island,2,2,4,"A resident at Babcock Village Apartments shot two employees, one fatally, and one resident before killing himself."
18/12/2019,Texas,0,4,4,Four people were shot at the South Park Mall.
17/12/2019,Montana,4,1,5,Three people are killed and one wounded in a shooting at the Emerald City Casino. The suspect was later killed by police at a different location.
15/12/2019,Georgia,1,4,5,One man was killed and four others injured at an intersection early in the morning.
14/12/2019,California,0,4,4,Four teenagers were wounded in a drive-by shooting at an apartment complex.
12/12/2019,Missouri,1,3,4,One man was killed and three wounded in a business parking lot.
10/12/2019,New Jersey,6,3,9,"2019 Jersey City shooting: Four people were killed, including a police officer, and another three were injured in an ambush style shootout by a man and woman who were killed by police. The suspects were Black Hebrew Israelites members and targeted a kosher grocery store."
10/12/2019,Texas,4,0,4,"Four people were discovered dead in a home, in either by a murder-suicide or a quadruple homicide. A toddler was also in the home, unharmed."
08/12/2019,Texas,2,3,5,"Two men were killed and three injured at an apartment building. The incident was originally reported as a home invasion, although the account was not confirmed."
08/12/2019,Louisiana,1,4,5,"Five people were shot outside a local bar, with one man dying of his injuries at the hospital."
06/12/2019,Florida,4,8,12,Naval Air Station Pensacola shooting: A man killed three individuals and injured eight more at Naval Air Station Pensacola before being killed by police. A terrorist motive is suspected to be behind the attack.
05/12/2019,Florida,4,1,5,"2019 Miramar shootout: Four people are dead and one injured after a pair of men rob a jewelry store in Coral Gables, injuring the clerk, then carjack a UPS truck and lead police on a chase that ended in a shootout in Miramar that killed the UPS driver, a bystander, and the suspects."
04/12/2019,Hawaii,3,1,4,"22-year-old Gabriel Romero, a US Navy sailor and submarine crewman, randomly opened fire just minutes after starting his shift for routine guard duty at at Joint Base Pearl Harbor–Hickam. He opened fire on a group of civilian workers, killing two and wounded another, before immediately shooting himself. The motive is thought to be a toxic cultural environment in the USN, particularly among submarine crewman."
04/12/2019,Alabama,2,2,4,Two people were killed and two wounded in an apartment complex.
01/12/2019,Michigan,1,3,4,One person was killed and three police officers wounded when a home invasion turned into a hostage situation.
01/12/2019,Louisiana,2,3,5,"One woman was killed and three others wounded, including a perpetrator, after an argument escalated at a nightclub."
01/12/2019,Louisiana,2,2,4,Two people were killed and two injured at an intersection hours after the first mass shooting in the city.
